bus;carrier;available_area_km2;availability_share;region_name
64;pv;427.08;0.7345497919766585;Holbæk
65;wind_onshore;26.400000000000002;0.043369257472738745;Kalundborg
65;pv;402.75;0.6616275926949063;Kalundborg
66;wind_onshore;18.150000000000002;0.07089520957282562;Køge
66;pv;186.19;0.7272715741247604;Køge
67;wind_onshore;10.0;0.04145162893800533;Lejre
67;pv;162.65;0.6742107446766568;Lejre
68;wind_offshore;151.85;0.1648053484409425;Lolland
68;wind_onshore;91.36;0.10171132538897469;Lolland
68;pv;677.34;0.7540843819939592;Lolland
69;wind_onshore;75.23;0.10934611226501019;Næstved
69;pv;500.94;0.7281116772302831;Næstved
70;wind_onshore;16.23;0.0452157061080518;Odsherred
70;pv;212.18;0.5911194406658307;Odsherred
71;wind_onshore;26.29;0.0889581270096922;Ringsted
71;pv;227.99;0.7714554346496663;Ringsted
72;wind_onshore;6.66;0.03132236765187579;Roskilde
72;pv;169.74;0.7982970998842939;Roskilde
73;wind_onshore;29.71;0.05080444317668379;Slagelse
73;pv;430.8;0.7366729761196694;Slagelse
74;wind_onshore;0.55;0.013624309581257979;Solrød
74;wind_offshore;0.08;0.0009200690051753881;Solrød
74;pv;33.58;0.8318260286157143;Solrød
75;wind_onshore;27.36;0.08885440445839977;Sorø
75;pv;212.49;0.6900830556785588;Sorø
76;wind_onshore;14.200000000000001;0.056544969207999174;Stevns
76;wind_offshore;191.04;0.2929342492639843;Stevns
76;pv;212.03;0.8443119592374693;Stevns
77;wind_onshore;77.63;0.1216967120612914;Vordingborg
77;wind_offshore;1547.3500000000001;0.6151482263328842;Vordingborg
77;pv;407.22;0.6383786562617427;Vordingborg
78;wind_onshore;95.04;0.10082388696446999;Aabenraa
78;pv;677.95;0.7192082719650928;Aabenraa
79;wind_onshore;5.16;0.057062228003608544;Ærø
79;wind_offshore;363.28000000000003;0.29974586620020466;Ærø
79;pv;51.21;0.5663094372218592;Ærø
80;wind_onshore;27.63;0.053905392709066115;Assens
80;pv;376.75;0.7350291966391842;Assens
81;wind_onshore;107.61;0.19922159214961924;Billund
81;pv;334.27;0.6188439885498859;Billund
82;wind_onshore;75.19;0.09611396829246728;Esbjerg
82;pv;533.0;0.681323914082791;Esbjerg
83;wind_onshore;21.42;0.0336803542392731;Faaborg-Midtfyn
83;pv;438.06;0.6887962641482713;Faaborg-Midtfyn
