region_id,region_name,area_km2,bus_x,bus_y
45,Skanderborg,455.67617929261735,9.853453032827913,56.084933558383284
46,Skive,690.2913207928083,8.916733552808987,56.63997028603408
47,Struer,246.34242587554994,8.540742096990405,56.63243445162305
48,Syddjurs,697.5806623029953,10.661214297294757,56.26953244381931
49,Viborg,1421.7846572730177,9.385921351073398,56.452835368485054
50,Aalborg,1140.9447610232878,10.013535098553698,57.10915965156161
51,Brønderslev,632.7423550327135,10.19534521930563,57.20381847869504
52,Frederikshavn,648.8216712979421,10.451988105550546,57.46227735218333
53,Hjørring,924.8969859055899,10.07183204199773,57.460596571575614
54,Jammerbugt,868.237463624363,9.659709264774195,57.17495215618041
55,Læsø,119.90236089852306,10.992921314511772,57.270439385843154
56,Mariagerfjord,724.4976379696251,9.920239218695649,56.70577561725909
57,Morsø,367.52114724376963,8.728621964725667,56.82621210726035
58,Rebild,624.3699077118168,10.003784112018495,56.81125432932481
59,Thisted,1096.2999695626982,8.481680362160082,56.91305898984156
60,Vesthimmerland,767.6284572891107,9.402512696482862,56.8220669251331
61,Faxe,405.9149579522656,12.090406299738614,55.27171264566621
62,Greve,61.067500327898394,12.235392702793552,55.58802201634609
63,Guldborgsund,905.3029131581108,11.699170788224736,54.77390668654203
64,Holbæk,581.4173588569728,11.580969630486702,55.65454568073287
65,Kalundborg,608.7261239506951,11.264218721111584,55.60681513172982
66,Køge,256.0116559265575,12.066719400082384,55.44923208997855
67,Lejre,241.24504286565585,11.89566556400757,55.63530080740446
68,Lolland,898.2283895192119,11.266134003152693,54.78157818194756
69,Næstved,687.9988546613895,11.706406468289613,55.26273697764117
70,Odsherred,358.9460697840903,11.608149506287935,55.871471749597134
71,Ringsted,295.5323013616956,11.808863630021984,55.45926835225788
72,Roskilde,212.62760446534233,12.081013731933028,55.647173751010975
73,Slagelse,584.791371429383,11.302061061913012,55.35077629092786
74,Solrød,40.36901809368435,12.164609100777938,55.53215963567566
75,Sorø,307.9194573051081,11.555419805734454,55.47660319821431
76,Stevns,251.12755739181407,12.344688979661337,55.329915166068524
77,Vordingborg,637.8972667799128,12.384553584902752,54.96635474454411
78,Aabenraa,942.6337633014643,9.354746629414137,54.990852701648045
79,Ærø,90.42759423398816,10.323175250870985,54.89407912558323
80,Assens,512.5646732437674,10.081065347682818,55.2955711622513
81,Billund,540.1522939299721,8.999573736268678,55.74210751677765
82,Esbjerg,782.3004432737861,8.747195159927763,55.4100120153988
83,Faaborg-Midtfyn,635.979059122283,10.427597285386064,55.20022408847317
84,Fanø,64.19661062202594,8.426370382894461,55.40041007576032
85,Fredericia,136.25779005548716,9.670027090671553,55.567530502623406
86,Haderslev,823.9205686907518,9.325945077531307,55.25326414007648
87,Kerteminde,215.5221615399271,10.6282805183261,55.471854354887256
88,Kolding,606.9105904168947,9.469988342498326,55.467978740972875
89,Langeland,292.11448824482926,10.776419177000273,54.94237079640178
90,Middelfart,300.2155801913041,9.937005782447649,55.44768871171655
91,Nordfyns,452.12699469546726,10.236901158082194,55.513894110883356
92,Nyborg,278.4609033855904,10.682016404754515,55.298974523282006
93,Odense,305.7583683667803,10.353989696770237,55.384686968210644
94,Sønderborg,495.105955857478,9.924512320930434,54.97209510945802
95,Svendborg,418.726625359777,10.595109565381904,55.124187087984915
96,Tønder,1175.5890631109808,8.888589217403357,55.06374513054898
97,Varde,1234.0450594021,8.508123673036685,55.66152068142137
98,Vejen,814.55775784601,9.050126521283303,55.46056482188732
99,Vejle,1061.6972435664095,9.352150488940444,55.76141802413865
